TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	8	staircase	-1	2	[   1.    2. -999.]	0	1.0	0.0	0.29570312500000284	3.0	1.0
2	circle	4	staircase	1	3	[2. 2. 2.]	0	1.0	1.0	0.29570312500000284	3.0	1.0
3	circle	4	[0.02, 0.1]	-1	3	[0. 1. 0.]	1	1.0	2.0	0.02	3.0	1.0
4	circle	8	staircase	-1	2	[5. 0. 5.]	1	1.0	3.0	0.595703125	0.0	0.0
5	circle	8	staircase	1	3	[7. 4. 4.]	1	1.0	4.0	0.29570312500000284	3.0	1.0
6	circle	4	staircase	-1	3	[1. 0. 0.]	2	1.0	5.0	0.595703125	3.0	1.0
7	circle	8	staircase	-1	3	[2. 1. 1.]	0	1.0	6.0	0.595703125	3.0	1.0
8	circle	4	staircase	-1	3	[2. 2. 2.]	2	1.0	7.0	0.8957031249999972	0.0	0.0
9	circle	8	staircase	1	2	[   1.    2. -999.]	0	1.0	8.0	0.29570312500000284	3.0	1.0
10	circle	4	staircase	1	3	[2. 0. 0.]	0	1.0	9.0	0.595703125	3.0	1.0
11	circle	4	staircase	-1	2	[   0.    3. -999.]	0	1.0	10.0	0.29570312500000284	3.0	1.0
12	circle	4	staircase	1	2	[   2. -999.    0.]	0	1.0	11.0	0.595703125	3.0	1.0
13	circle	4	[0.02, 0.1]	1	3	[0. 1. 0.]	0	1.0	12.0	0.02	3.0	1.0
14	circle	4	staircase	1	3	[1. 0. 0.]	2	1.0	13.0	0.595703125	3.0	1.0
15	circle	8	staircase	1	3	[2. 1. 1.]	2	1.0	14.0	0.8957031249999972	3.0	1.0
16	circle	4	staircase	1	2	[   0.    3. -999.]	0	1.0	15.0	0.8957031249999972	3.0	1.0
17	circle	8	[0.02, 0.1]	1	2	[0. 4. 3.]	2	1.0	16.0	0.1	3.0	1.0
18	circle	4	staircase	-1	3	[2. 0. 0.]	1	1.0	17.0	0.595703125	0.0	0.0
19	circle	4	staircase	-1	2	[   2. -999.    0.]	2	1.0	18.0	1.1957031249999943	3.0	1.0
20	circle	8	staircase	-1	3	[7. 4. 4.]	0	1.0	19.0	1.1957031249999943	0.0	0.0
21	circle	8	[0.02, 0.1]	-1	3	[3. 2. 2.]	0	1.0	20.0	0.1	3.0	1.0
22	circle	8	staircase	-1	2	[6. 5. 0.]	1	1.0	21.0	0.29570312500000284	3.0	1.0
23	circle	4	staircase	1	2	[   0. -999.    2.]	0	1.0	22.0	1.4957031249999915	0.0	0.0
24	circle	4	staircase	-1	2	[   0. -999.    2.]	0	1.0	23.0	1.1957031249999943	3.0	1.0
25	circle	8	[0.02, 0.1]	-1	2	[0. 4. 3.]	0	1.0	24.0	0.1	3.0	1.0
26	circle	8	staircase	1	2	[5. 0. 5.]	1	1.0	25.0	0.29570312500000284	3.0	1.0
27	circle	8	staircase	-1	3	[1. 4. 0.]	1	1.0	26.0	0.8957031249999972	3.0	1.0
28	circle	8	[0.02, 0.1]	1	3	[3. 2. 2.]	2	1.0	27.0	0.02	3.0	1.0
29	circle	4	[0.02, 0.1]	-1	2	[0. 1. 2.]	0	1.0	28.0	0.02	3.0	1.0
30	circle	4	[0.02, 0.1]	1	2	[0. 1. 2.]	0	1.0	29.0	0.1	3.0	1.0
31	circle	8	staircase	1	3	[1. 4. 0.]	0	1.0	30.0	0.8957031249999972	0.0	0.0
32	circle	8	staircase	1	2	[6. 5. 0.]	2	1.0	31.0	0.4957031250000057	3.0	1.0
