trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips
24	tem	a	circle	8	0.15484374999999773	1	101	3 	 4.584873008752852 	 2 	 1.0	7.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.7321 	3.6497 	5.6102 	-999	-999	-999	-999	-999	-999	1.7908 	2.8977 	3.7621 	5.7116 	-999	-999	-999	-999	-999	2.9366 	4.7639 	6.1288 	-999	-999	-999	-999	-999	-999	3
25	tem	a	circle	8	0.1	1	102	3 	 4.5561813023009385 	 3 	 7.0	2.0	1.0	1	1	-1	-1	-999	-0.0	-999	3.1606 	4.5812 	6.3516 	-999	-999	-999	-999	-999	-999	3.0668 	4.1519 	5.6825 	-999	-999	-999	-999	-999	-999	2.238 	3.2972 	4.562 	5.8887 	-999	-999	-999	-999	-999	1
26	tem	a	circle	8	0.15484374999999773	1	93	3 	 5.504725221973772 	 2 	 7.0	7.0	5.0	0	1	-1	-1	0.0	-999	-999	2.0138 	3.1592 	4.7508 	5.372 	6.3482 	-999	-999	-999	-999	2.4616 	3.0448 	5.0271 	6.1498 	-999	-999	-999	-999	-999	2.2169 	3.6579 	5.647 	7.2425 	-999	-999	-999	-999	-999	1
27	tem	a	circle	4	0.6548437499999977	1	82	0 	 4.8021533785102575 	 3 	 2.0	2.0	3.0	0	1	-1	-1	1.0	-999	-999	3.0919 	4.6234 	5.6003 	-999	-999	-999	-999	-999	-999	2.5061 	3.9987 	5.1613 	-999	-999	-999	-999	-999	-999	3.1266 	3.8586 	4.4188 	6.1703 	-999	-999	-999	-999	-999	1
28	tem	a	circle	4	0.4548437499999949	-1	83	3 	 5.553416913121795 	 3 	 0.0	3.0	0.0	0	-1	1	-1	-0.0	-999	-999	1.9638 	3.2275 	4.257 	5.6179 	6.8134 	-999	-999	-999	-999	3.0145 	4.2962 	4.9418 	6.4274 	-999	-999	-999	-999	-999	2.7062 	3.7679 	4.6574 	6.5759 	-999	-999	-999	-999	-999	1
29	tem	a	circle	8	0.030000000000001137	-1	126	0 	 4.290485574030145 	 3 	 6.0	0.0	0.0	1	-1	1	-1	-999	4.0	-999	2.2529 	2.8399 	4.5219 	5.406 	-999	-999	-999	-999	-999	1.925 	2.9807 	4.6131 	-999	-999	-999	-999	-999	-999	1.9557 	3.0877 	4.7066 	-999	-999	-999	-999	-999	-999	2
30	tem	a	circle	4	0.6548437499999977	-1	100	0 	 5.685984558142956 	 2 	 3.0	-999.0	3.0	0	-1	1	-1	1.0	-999	-999	2.1833 	4.1503 	5.5006 	6.1646 	-999	-999	-999	-999	-999	2.5175 	4.3685 	6.3284 	-999	-999	-999	-999	-999	-999	1.9229 	2.842 	3.89 	4.5801 	5.8148 	7.0539 	-999	-999	-999	2
31	tem	a	circle	8	0.030000000000001137	-1	120	3 	 3.7046985350750523 	 3 	 4.0	6.0	3.0	0	-1	1	-1	0.0	-999	-999	2.3277 	3.2627 	3.8278 	5.2305 	-999	-999	-999	-999	-999	1.952 	2.93 	4.7038 	-999	-999	-999	-999	-999	-999	2.9052 	4.8324 	-999	-999	-999	-999	-999	-999	-999	2
32	tem	a	circle	4	0.35484375000000057	1	119	3 	 5.2860660358511256 	 2 	 2.0	-999.0	0.0	0	1	-1	-1	0.0	-999	-999	1.8958 	3.0743 	4.2389 	5.317 	6.058 	-999	-999	-999	-999	2.8813 	4.7066 	6.3722 	-999	-999	-999	-999	-999	-999	2.2476 	3.1416 	4.5935 	6.3866 	-999	-999	-999	-999	-999	3
33	tem	a	circle	8	0.15484374999999773	1	103	3 	 4.573206874689678 	 2 	 7.0	-999.0	1.0	2	1	-1	-1	-999	-999	-0.0	2.8483 	3.9441 	5.1287 	-999	-999	-999	-999	-999	-999	3.1167 	4.9243 	-999	-999	-999	-999	-999	-999	-999	1.8515 	3.7437 	5.102 	-999	-999	-999	-999	-999	-999	10
