comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	IDnum	session	IDvalid	EDFmatchExists	EDF_name	EDF_suffix	noSessionID	sessionNum
None	160	0.01875	0.26875	0.19375	28	1	TRUE	TRUE	g281	EDF	FALSE	1
None	160	0.1875	0.4875	0.44375	28	2	TRUE	TRUE	g282	EDF	FALSE	2
None	160	0	0.20625	0.1625	16	1	TRUE	TRUE	h161	EDF	FALSE	1
None	160	0	0.2375	0.175	16	2	TRUE	TRUE	h162	EDF	FALSE	2
None	160	0.21875	0.36875	0.35	44	1	TRUE	TRUE	h441	EDF	FALSE	1
None	160	0	0.1375	0.1	44	2	TRUE	TRUE	h442	EDF	FALSE	2
None	160	0.04375	0.23125	0.20625	42	1	TRUE	TRUE	i421	EDF	FALSE	1
None	160	0	0.1875	0.0875	42	2	TRUE	TRUE	i422	EDF	FALSE	2
None	160	0	0.00625	0.00625	02	1	TRUE	TRUE	j021	EDF	FALSE	1
None	160	0	0.09375	0.05625	02	3	TRUE	FALSE	NA	NA	NA	3
None	160	0	0.04375	0.0375	07	1	TRUE	TRUE	j071	EDF	FALSE	1
None	160	0	0.05	0.025	07	2	TRUE	TRUE	j072	EDF	FALSE	2
None	160	0	0.23125	0.16875	14	1	TRUE	TRUE	j141	EDF	FALSE	1
None	160	0	0.275	0.175	14	2	TRUE	TRUE	j142	EDF	FALSE	2
None	160	0	0.20625	0.13125	18	1	TRUE	TRUE	j181	EDF	FALSE	1
None	160	0	0.2	0.1625	18	2	TRUE	TRUE	j182	EDF	FALSE	2
None	160	0	0.1625	0.13125	38	1	TRUE	TRUE	j381	EDF	FALSE	1
None	160	0	0.20625	0.15	38	2	TRUE	TRUE	j382	EDF	FALSE	2
None	160	0	0.01875	0.0125	39	1	TRUE	TRUE	j391	EDF	FALSE	1
None	160	0	0	0	39	2	TRUE	TRUE	j392	EDF	FALSE	2
None	160	0	0.01875	0.0125	04	1	TRUE	TRUE	K041	EDF	FALSE	1
None	160	0	0.0125	0.00625	04	2	TRUE	TRUE	k042	EDF	FALSE	2
None	160	0.1125	0.34375	0.325	24	1	TRUE	TRUE	k241	EDF	FALSE	1
None	160	0	0.11875	0.0625	24	2	TRUE	TRUE	k242	EDF	FALSE	2
None	160	0.2375	0.4375	0.3875	33	1	TRUE	TRUE	k331	EDF	FALSE	1
None	160	0.00625	0.125	0.0875	33	2	TRUE	TRUE	k332	EDF	FALSE	2
None	160	0	0.1875	0.10625	34	1	TRUE	TRUE	k341	EDF	FALSE	1
None	160	0	0.18125	0.1	34	2	TRUE	TRUE	k342	EDF	FALSE	2
None	160	0	0.20625	0.1625	36	1	TRUE	TRUE	k361	EDF	FALSE	1
None	160	0	0.25	0.16875	36	2	TRUE	TRUE	k362	EDF	FALSE	2
None	160	0	0.15	0.09375	54	1	TRUE	TRUE	k541	EDF	FALSE	1
None	160	0	0.1375	0.10625	54	2	TRUE	TRUE	k542	EDF	FALSE	2
None	160	0	0.25	0.2375	46	1	TRUE	TRUE	l461	EDF	FALSE	1
None	160	0	0.04375	0.03125	46	2	TRUE	TRUE	l462	EDF	FALSE	2
None	160	0	0.00625	0	09	1	TRUE	FALSE	NA	NA	NA	1
None	160	0	0.025	0.0125	09	2	TRUE	FALSE	NA	NA	NA	2
None	160	0	0.18125	0.14375	45	1	TRUE	TRUE	m451	EDF	FALSE	1
None	160	0	0.19375	0.1625	45	2	TRUE	TRUE	m452	EDF	FALSE	2
None	160	0.0625	0.35625	0.30625	50	1	TRUE	TRUE	m501	EDF	FALSE	1
None	160	0	0.15625	0.10625	50	2	TRUE	TRUE	m502	EDF	FALSE	2
None	160	0.04375	0.28125	0.23125	51	1	TRUE	TRUE	m511	EDF	FALSE	1
None	160	0	0.125	0.09375	51	2	TRUE	TRUE	m512	EDF	FALSE	2
None	160	0.025	0.31875	0.3	48	1	TRUE	TRUE	n481	EDF	FALSE	1
None	160	0	0.14375	0.1125	48	2	TRUE	TRUE	n482	EDF	FALSE	2
None	160	0	0.2125	0.13125	52	1	TRUE	TRUE	o521	EDF	FALSE	1
None	160	0	0.1875	0.175	52	2	TRUE	TRUE	o522	EDF	FALSE	2
None	160	0	0.03125	0.01875	01	1	TRUE	TRUE	p011	EDF	FALSE	1
None	40	0	0.125	0.075	01	2	TRUE	FALSE	NA	NA	NA	2
None	40	0	0.125	0.075	01	2	TRUE	FALSE	NA	NA	NA	2
None	120	0	0.058333333333333334	0.03333333333333333	01	2	TRUE	FALSE	NA	NA	NA	2
None	120	0	0.058333333333333334	0.03333333333333333	01	2	TRUE	FALSE	NA	NA	NA	2
None	160	0.00625	0.19375	0.14375	05	1	TRUE	TRUE	r051	EDF	FALSE	1
None	160	0.00625	0.18125	0.11875	05	2	TRUE	TRUE	r052	EDF	FALSE	2
None	160	0.2375	0.40625	0.375	21	1	TRUE	TRUE	r211	EDF	FALSE	1
None	160	0	0.1375	0.1	21	2	TRUE	TRUE	r212	EDF	FALSE	2
None	160	0	0.00625	0	41	1	TRUE	TRUE	r411	EDF	FALSE	1
None	160	0	0.00625	0	41	2	TRUE	TRUE	r412	EDF	FALSE	2
None	160	0	0.00625	0	12	1	TRUE	FALSE	NA	NA	NA	1
None	160	0	0.00625	0.00625	12	2	TRUE	FALSE	NA	NA	NA	2
None	160	0	0.23125	0.125	17	1	TRUE	TRUE	s171	EDF	FALSE	1
None	160	0	0.15	0.10625	17	2	TRUE	TRUE	s172	EDF	FALSE	2
None	160	0.05625	0.34375	0.3	22	1	TRUE	TRUE	s221	EDF	FALSE	1
None	160	0	0.1125	0.08125	22	2	TRUE	TRUE	s222	EDF	FALSE	2
None	160	0	0.2	0.14375	27	1	TRUE	TRUE	S271	EDF	FALSE	1
None	160	0.00625	0.20625	0.1375	27	2	TRUE	TRUE	S272	EDF	FALSE	2
None	160	0.01875	0.25	0.2	35	1	TRUE	TRUE	t351	EDF	FALSE	1
None	160	0	0.2375	0.1625	35	2	TRUE	TRUE	t352	EDF	FALSE	2
None	160	0	0.025	0.01875	40	1	TRUE	TRUE	t401	EDF	FALSE	1
None	160	0	0.01875	0.01875	40	2	TRUE	TRUE	t402	EDF	FALSE	2
None	160	0	0.1375	0.09375	13	1	TRUE	TRUE	w131	EDF	FALSE	1
None	160	0	0.16875	0.125	13	2	TRUE	TRUE	w132	EDF	FALSE	2
None	160	0	0.25	0.15625	30	1	TRUE	TRUE	x301	EDF	FALSE	1
None	160	0	0.275	0.18125	30	2	TRUE	TRUE	x302	EDF	FALSE	2
None	160	0	0.09375	0.0625	19	1	TRUE	TRUE	y191	EDF	FALSE	1
None	160	0	0.2125	0.1	19	2	TRUE	TRUE	y192	EDF	FALSE	2
None	160	0.15625	0.43125	0.4125	26	1	TRUE	TRUE	y261	EDF	FALSE	1
None	160	0	0.125	0.09375	26	2	TRUE	TRUE	y262	EDF	FALSE	2
None	160	0.15	0.375	0.36875	25	1	TRUE	TRUE	z251	EDF	FALSE	1
None	160	0.00625	0.20625	0.14375	25	2	TRUE	TRUE	z252	EDF	FALSE	2
None	160	0.24375	0.45	0.41875	37	1	TRUE	TRUE	z371	EDF	FALSE	1
None	160	0.00625	0.21875	0.1625	37	2	TRUE	TRUE	z372	EDF	FALSE	2
