trialnum	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	offset	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	IDnum	sessionNum	comment	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	EDFmatchExists
130	1	ellipse	4	0.9111111111111398	-1	105	3	4.677933683341639	1	[-10,	0]	0	0	-1	-0	1.9057	3.7509	5.6503	-999	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
131	1	ellipse	6	0.1	-1	101	3	3.435559054468677	1	[10,	0]	1	0	-1	0	2.5909	4.061	-999	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
132	1	ellipse	6	0.7111111111110802	1	100	0	5.457146829036562	1	[10,	0]	5	0	1	3	2.85	3.9321	5.3854	6.2292	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
133	1	ellipse	6	0.1	1	93	3	3.712269606308656	1	[-10,	0]	3	0	1	-0	2.8883	4.5355	-999	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
134	1	ellipse	4	0.9111111111111398	-1	79	3	5.2980797804576145	1	[-10,	0]	3	0	-1	0	1.7311	3.464	4.7825	5.4242	7.0749	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
135	1	ellipse	6	0.661111111111083	-1	97	0	4.915385527167016	1	[-10,	0]	0	0	-1	1	2.7803	3.4899	4.6615	5.2875	-999	-999	-999	-999	-999	2	2	53	1	None	0.09375	0.41875	0.39375	TRUE
136	1	ellipse	6	0.6111111111110858	-1	100	0	3.466904952668727	1	[10,	0]	5	0	-1	1	2.0092	3.7297	4.6313	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
137	1	ellipse	4	0.961111111111137	-1	103	3	5.534251955239274	1	[-10,	0]	3	0	-1	-0	2.2581	4.2048	6.1426	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
138	1	ellipse	4	0.961111111111137	1	74	3	4.35066303101997	1	[10,	0]	3	0	1	0	2.7035	4.0356	4.607	5.4473	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
139	1	ellipse	4	0.961111111111137	-1	87	0	4.2761680782583715	1	[10,	0]	2	0	-1	-1	2.7288	3.699	5.2512	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
140	1	ellipse	6	0.5611111111110887	-1	90	0	5.59174692365027	1	[10,	0]	0	0	-1	-1	3.1262	4.6406	5.2274	5.7398	6.4006	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
141	1	ellipse	6	0.5111111111110915	-1	106	3	4.154425739335519	1	[-10,	0]	5	0	-1	-0	2.0084	3.7676	4.8347	-999	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
142	1	ellipse	4	0.02	1	75	3	5.609221191983304	1	[-10,	0]	0	0	1	-0	1.9861	3.0332	3.6179	4.1856	5.1066	6.8763	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
143	1	ellipse	4	0.02	-1	73	3	5.062649084317002	1	[10,	0]	1	0	-1	-0	2.477	4.1801	5.5575	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
144	1	ellipse	4	0.9111111111111398	-1	68	3	5.168158996786381	1	[10,	0]	3	0	-1	0	2.3828	3.2503	4.4678	5.4978	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
145	1	ellipse	6	0.5111111111110915	-1	109	3	5.646260506022125	1	[-10,	0]	1	0	-1	0	2.2595	3.714	4.4699	6.2221	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
146	1	ellipse	6	0.02	1	85	3	4.9144254201272135	1	[10,	0]	1	0	1	-0	2.8291	3.7949	4.8418	6.1601	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
147	1	ellipse	6	0.5111111111110915	1	91	3	5.530631618722033	1	[-10,	0]	0	0	1	-0	2.0886	2.9629	3.6763	5.6554	7.0277	-999	-999	-999	-999	4	4	53	1	None	0.09375	0.41875	0.39375	TRUE
148	1	ellipse	6	0.5611111111110887	-1	79	3	4.897924519513113	1	[10,	0]	0	0	-1	-0	2.9743	3.8512	5.0044	6.2851	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
149	1	ellipse	6	0.5611111111110887	-1	73	0	5.501665999823172	1	[10,	0]	0	0	-1	-2	1.7711	2.7692	3.9423	4.8738	6.2957	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
150	1	ellipse	4	0.9111111111111398	1	71	3	5.5291331861259625	1	[10,	0]	0	0	1	-0	2.3536	4.1824	5.4419	6.4559	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
151	1	ellipse	4	0.02	1	102	3	4.104959901874695	1	[10,	0]	1	0	1	0	3.1692	3.7835	5.5522	-999	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
152	1	ellipse	4	0.1	-1	68	3	4.170409582730727	1	[-10,	0]	3	0	-1	-0	2.4026	3.602	4.6665	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
153	1	ellipse	4	0.9111111111111398	-1	96	3	4.440085139966461	1	[10,	0]	2	0	-1	0	1.9154	3.1371000000000002	4.4327	5.0519	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
154	1	ellipse	6	0.5111111111110915	1	73	3	3.684433513933237	1	[-10,	0]	3	0	1	-0	2.8874	4.066	-999	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
155	1	ellipse	6	0.5111111111110915	1	70	3	5.429100859148618	1	[10,	0]	0	0	1	-0	2.2721	4.0147	5.0405	6.1502	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
156	1	ellipse	4	0.961111111111137	1	81	3	3.4337046504231483	1	[-10,	0]	1	0	1	-0	2.9661	3.5883	4.7785	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
157	1	ellipse	6	0.5111111111110915	1	82	0	4.862784236681664	1	[10,	0]	5	0	1	2	1.8979	3.7561	5.0846	6.8408	-999	-999	-999	-999	-999	1	1	53	1	None	0.09375	0.41875	0.39375	TRUE
158	1	ellipse	4	0.961111111111137	1	97	0	4.643882971303321	1	[-10,	0]	3	0	1	-2	2.8088	4.2516	4.9384	5.491	-999	-999	-999	-999	-999	2	0	53	1	None	0.09375	0.41875	0.39375	TRUE
159	1	ellipse	6	0.4611111111110944	1	68	3	4.499644845259353	1	[-10,	0]	0	0	1	0	2.7379	4.0785	4.8873	-999	-999	-999	-999	-999	-999	0	0	53	1	None	0.09375	0.41875	0.39375	TRUE
0	2	ellipse	4	1.0999999999999943	-1	89	3	4.760849796674851	1	[-10,	0]	2	0	-1	0	2.218	2.8621	4.2503	5.5872	-999	-999	-999	-999	-999	2	1	53	2	None	0	0.2	0.10625	TRUE
1	2	ellipse	4	1.3999999999999917	1	68	3	3.798865515248594	1	[10,	0]	2	0	1	-0	1.7534	2.5338	3.6423	5.3089	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
2	2	ellipse	4	1.6999999999999886	1	95	0	4.227620467173789	1	[10,	0]	2	0	1	1	1.9547	3.2682	5.1704	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
3	2	ellipse	4	1.3999999999999917	-1	98	3	4.093043754264931	1	[10,	0]	2	0	-1	0	2.9972	4.856	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
4	2	ellipse	4	1.3999999999999917	1	75	3	4.1813190295101075	1	[-10,	0]	0	0	1	0	1.9655	3.9624	4.7381	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
5	2	ellipse	4	1.3999999999999917	-1	69	0	4.308360453101468	1	[10,	0]	1	0	-1	-1	3.1848	4.0481	4.8555	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
6	2	ellipse	4	1.0999999999999943	1	96	0	5.163898225309519	1	[-10,	0]	0	0	1	-2	2.3348	3.0815	4.7659	6.4572	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
7	2	ellipse	6	0.7000000000000028	-1	105	0	3.914048357146488	1	[10,	0]	0	0	-1	1	2.5499	4.074	5.4608	-999	-999	-999	-999	-999	-999	3	2	53	2	None	0	0.2	0.10625	TRUE
8	2	ellipse	4	0.7999999999999972	1	73	0	3.2056929681312387	1	[-10,	0]	3	0	1	1	2.634	3.5262	-999	-999	-999	-999	-999	-999	-999	1	0	53	2	None	0	0.2	0.10625	TRUE
9	2	ellipse	6	0.4000000000000057	1	100	3	4.462418348137757	1	[-10,	0]	4	0	1	0	2.3958	3.7656	4.6935	6.3916	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
10	2	ellipse	6	0.02	1	80	3	4.3181528589819616	1	[-10,	0]	4	0	1	-0	3.0801	4.4353	5.2921	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
11	2	ellipse	6	0.7000000000000028	1	97	0	4.619270421837919	1	[10,	0]	5	0	1	-1	2.8945	4.131	6.0798	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
12	2	ellipse	4	0.5	1	69	3	3.788445481841835	1	[10,	0]	2	0	1	-0	2.5739	4.4544	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
13	2	ellipse	6	0.5	1	69	0	3.953690910902403	1	[-10,	0]	4	0	1	-2	2.7566	3.971	5.7544	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
14	2	ellipse	4	0.5	-1	99	3	3.329372142312762	1	[10,	0]	1	0	-1	0	3.0658	3.5972	5.5817	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
15	2	ellipse	6	0.29999999999999716	-1	71	3	4.663818721390791	1	[-10,	0]	5	0	-1	-0	2.8786	4.4201	6.2562	-999	-999	-999	-999	-999	-999	2	1	53	2	None	0	0.2	0.10625	TRUE
16	2	ellipse	4	0.5	1	99	3	4.302243000733123	1	[10,	0]	1	0	1	0	2.1347	4.1284	5.6968	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
17	2	ellipse	4	0.7000000000000028	1	79	3	3.255518158445422	1	[-10,	0]	1	0	1	-0	3.0002	3.8919	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
18	2	ellipse	6	0.29999999999999716	1	93	3	5.398984597770375	1	[-10,	0]	5	0	1	-0	1.7717	3.099	4.8715	6.3979	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
19	2	ellipse	6	0.29999999999999716	-1	69	3	3.302005887233846	1	[10,	0]	2	0	-1	0	1.7732	3.7702	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
20	2	ellipse	4	0.7000000000000028	-1	78	3	5.388213147345381	1	[10,	0]	1	0	-1	0	2.9956	3.6535	4.3716	5.7799	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
21	2	ellipse	4	0.02	1	82	3	4.796966297493988	1	[-10,	0]	0	0	1	0	2.5074	3.7831	5.7549	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
22	2	ellipse	6	0.3999999999999915	-1	77	3	3.993796036510848	1	[-10,	0]	0	0	-1	0	3.1778	4.8126	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
23	2	ellipse	4	0.1	1	92	3	3.826204828610982	1	[10,	0]	0	0	1	0	2.2183	3.0491	4.214	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
24	2	ellipse	6	0.3999999999999915	1	87	3	5.387074901793447	1	[10,	0]	2	0	1	0	2.6303	4.4229	6.0225	-999	-999	-999	-999	-999	-999	2	2	53	2	None	0	0.2	0.10625	TRUE
25	2	ellipse	6	0.02	-1	105	3	5.193834254100351	1	[10,	0]	3	0	-1	0	2.8934	4.5129	5.1379	6.2267	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
26	2	ellipse	6	0.02	-1	78	3	5.4353955980556705	1	[-10,	0]	0	0	-1	-0	2.1148	3.9528	5.8143	-999	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
27	2	ellipse	6	0.3999999999999915	-1	75	3	4.318203530570781	1	[-10,	0]	1	0	-1	-0	3.1164	3.9743	5.5445	-999	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
28	2	ellipse	6	0.4999999999999858	1	87	3	5.19137687412697	1	[10,	0]	2	0	1	-0	1.8416	3.6411	4.312	5.9377	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
29	2	ellipse	4	0.7000000000000028	-1	107	3	4.322811900160069	1	[-10,	0]	3	0	-1	-0	1.8446	2.5821	3.6674	4.2461	5.3229	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
30	2	ellipse	6	0.1	1	78	3	4.555069185747623	1	[10,	0]	1	0	1	-0	1.8098	3.6034	4.5128	5.8005	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
31	2	ellipse	6	0.4999999999999858	-1	94	3	3.3291044013665916	1	[10,	0]	3	0	-1	0	1.8171	2.3885	2.9176	3.8701	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
32	2	ellipse	6	0.4999999999999858	-1	96	3	4.510203015751767	1	[-10,	0]	4	0	-1	0	2.5482	3.1387	4.0846	5.2428	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
33	2	ellipse	6	0.5999999999999801	1	81	0	4.338448354535109	1	[10,	0]	0	0	1	1	2.3805	4.1064	5.6943	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
34	2	ellipse	4	0.9000000000000057	-1	94	3	4.515433099512846	1	[-10,	0]	0	0	-1	0	1.7096	2.325	4.2596	4.9297	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
35	2	ellipse	6	0.4999999999999858	1	72	3	5.3497311598186155	1	[-10,	0]	4	0	1	0	1.7416	2.7119	3.3145	5.2412	5.8745	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
36	2	ellipse	4	0.1	-1	71	3	3.674049050238336	1	[-10,	0]	2	0	-1	0	2.5358	3.842	5.8268	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
37	2	ellipse	4	0.9000000000000057	-1	102	3	5.394340674716892	1	[-10,	0]	3	0	-1	-0	3.0376	4.2225	5.7434	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
38	2	ellipse	6	0.4999999999999858	-1	84	0	4.940046690282828	1	[10,	0]	3	0	-1	-2	2.354	3.1997	5.076	5.9027	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
39	2	ellipse	4	0.02	-1	71	3	5.5735003847790905	1	[10,	0]	2	0	-1	-0	2.5846	4.4413	6.0904	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
40	2	ellipse	4	0.9000000000000057	1	97	3	3.322325450367093	1	[10,	0]	2	0	1	0	2.2197	3.0098	4.7657	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
41	2	ellipse	4	1.1000000000000083	-1	75	3	5.4276958969746865	1	[10,	0]	0	0	-1	-0	3.0016	4.9987	6.2442	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
42	2	ellipse	4	1.1000000000000083	-1	97	3	4.065744407899142	1	[10,	0]	3	0	-1	-0	2.0935	4.069	5.7839	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
43	2	ellipse	6	0.02	1	100	3	3.2834210299144253	1	[10,	0]	0	0	1	0	2.3839	2.9992	4.143	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
44	2	ellipse	4	1.1000000000000083	1	87	0	4.705881550654774	1	[10,	0]	2	0	1	1	2.308	3.8968	4.4879	5.7533	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
45	2	ellipse	6	0.3999999999999915	1	76	3	5.0170818462419735	1	[-10,	0]	3	0	1	-0	2.216	3.5175	4.9114	5.975	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
46	2	ellipse	4	0.1	-1	103	3	3.676488640470138	1	[-10,	0]	0	0	-1	-0	2.8953	3.5428	4.5548	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
47	2	ellipse	6	0.3999999999999915	-1	110	3	3.3568381883875333	1	[-10,	0]	2	0	-1	0	3.1157	5.0944	-999	-999	-999	-999	-999	-999	-999	3	3	53	2	None	0	0.2	0.10625	TRUE
48	2	ellipse	6	0.3999999999999915	-1	103	3	3.3830343764364947	1	[10,	0]	4	0	-1	0	2.2118	4.0387	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
49	2	ellipse	6	0.02	-1	80	3	3.207204655525711	1	[10,	0]	2	0	-1	-0	1.746	2.7937	3.3909	3.9535	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
50	2	ellipse	6	0.44999999999998863	-1	93	3	3.9600841556349526	1	[10,	0]	4	0	-1	-0	2.4227	3.1841	4.4206	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
51	2	ellipse	4	1.0000000000000142	1	83	0	4.741460845048145	1	[10,	0]	0	0	1	1	1.9761	3.5434	4.7397	6.192	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
52	2	ellipse	6	0.44999999999998863	-1	69	3	4.192946269340539	1	[10,	0]	4	0	-1	-0	2.4534	4.1469	5.5339	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
53	2	ellipse	4	0.02	1	98	3	3.795975443131546	1	[-10,	0]	0	0	1	0	2.6909	3.7805	5.2737	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
54	2	ellipse	4	0.1	-1	79	3	4.772374349512694	1	[10,	0]	2	0	-1	-0	2.4877	3.4711	4.9623	6.9561	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
55	2	ellipse	4	0.9000000000000199	1	87	3	4.686752117497127	1	[-10,	0]	3	0	1	0	2.071	2.7596	3.4961	4.6302	6.1045	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
56	2	ellipse	6	0.44999999999998863	1	90	0	5.139024483341055	1	[-10,	0]	4	0	1	-1	2.5239	3.6501	5.2466	6.2088	-999	-999	-999	-999	-999	2	1	53	2	None	0	0.2	0.10625	TRUE
57	2	ellipse	4	0.1	1	90	3	5.693207837171501	1	[10,	0]	2	0	1	0	2.9732	4.6508	6.0839	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
58	2	ellipse	4	0.9000000000000199	1	79	3	4.761541552660538	1	[10,	0]	2	0	1	0	2.815	4.204	5.7478	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
59	2	ellipse	6	0.1	-1	109	3	5.477814129896886	1	[-10,	0]	0	0	-1	-0	2.5831	4.423	6.1209	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
60	2	ellipse	6	0.3999999999999915	1	91	3	3.326636020289912	1	[10,	0]	0	0	1	0	2.7293	3.3264	3.9226	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
61	2	ellipse	6	0.3999999999999915	-1	83	3	4.770253164816548	1	[-10,	0]	2	0	-1	-0	2.9555	4.825	5.4041	-999	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
62	2	ellipse	4	0.9000000000000199	-1	104	3	4.917578854140396	1	[10,	0]	0	0	-1	0	3.1594	4.9922	6.6824	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
63	2	ellipse	4	1.0000000000000142	-1	86	3	5.5471687113591965	1	[-10,	0]	3	0	-1	0	2.8055	3.9772	4.749	5.9791	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
64	2	ellipse	4	1.0000000000000142	-1	106	0	5.489749699218478	1	[-10,	0]	3	0	-1	-1	2.4876	3.3338	4.2855	5.04	6.7594	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
65	2	ellipse	6	0.3999999999999915	-1	85	3	4.6143000706297945	1	[-10,	0]	0	0	-1	0	3.1116	5.0901	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
66	2	ellipse	6	0.44999999999998863	1	107	0	5.068308776287555	1	[-10,	0]	0	0	1	1	2.5278	4.4709	5.1534	6.7336	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
67	2	ellipse	4	0.950000000000017	1	73	3	4.752251127053034	1	[-10,	0]	1	0	1	0	2.789	3.7343	5.3235	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
68	2	ellipse	4	0.950000000000017	1	70	0	3.2455259607076288	1	[-10,	0]	0	0	1	-2	3.156	4.082	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
69	2	ellipse	6	0.02	1	88	3	3.7896906177269982	1	[-10,	0]	2	0	1	0	1.9281	2.6128	4.1456	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
70	2	ellipse	4	0.9000000000000199	-1	69	3	3.5170558938077	1	[10,	0]	2	0	-1	0	2.9241	3.6158	4.9589	-999	-999	-999	-999	-999	-999	3	0	53	2	None	0	0.2	0.10625	TRUE
71	2	ellipse	6	0.3999999999999915	-1	103	3	4.362427954187502	1	[-10,	0]	3	0	-1	0	2.0886	3.6105	4.3457	5.3201	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
72	2	ellipse	4	0.9000000000000199	-1	99	3	3.3114564429283764	1	[-10,	0]	3	0	-1	0	2.9909	4.4632	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
73	2	ellipse	4	0.9000000000000199	1	82	0	5.221857177290834	1	[-10,	0]	1	0	1	1	2.9804	3.6172	4.5154	5.2716	6.9343	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
74	2	ellipse	6	0.3999999999999915	1	88	3	5.475052072286332	1	[-10,	0]	0	0	1	-0	2.5588	3.6529	4.7764	6.7507	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
75	2	ellipse	4	0.8500000000000227	-1	81	3	3.789548072680881	1	[-10,	0]	0	0	-1	-0	3.0116	3.6583	4.7521	-999	-999	-999	-999	-999	-999	1	0	53	2	None	0	0.2	0.10625	TRUE
76	2	ellipse	6	0.3999999999999915	1	97	3	5.233047299436074	1	[10,	0]	0	0	1	0	2.4145	3.0579	3.9026	5.2652	6.2152	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
77	2	ellipse	6	0.44999999999998863	-1	98	3	4.635357878532566	1	[10,	0]	1	0	-1	-0	2.4643	4.0695	5.1804	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
78	2	ellipse	6	0.44999999999998863	1	97	3	4.506712892463489	1	[10,	0]	3	0	1	0	2.8675	3.7065	4.6238	6.5016	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
79	2	ellipse	6	0.44999999999998863	1	82	3	5.114423922865645	1	[10,	0]	1	0	1	0	3.1276	4.43	5.2985	6.4977	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
80	2	ellipse	4	0.8500000000000227	1	88	3	5.30297797731376	1	[-10,	0]	2	0	1	0	2.2822	3.2552	4.272	5.1017	6.6871	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
81	2	ellipse	6	0.4999999999999858	-1	75	3	3.844875648778464	1	[10,	0]	1	0	-1	0	2.8571	4.5189	-999	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
82	2	ellipse	6	0.4999999999999858	1	85	3	5.145157931820884	1	[-10,	0]	0	0	1	-0	1.893	3.0762	4.1008	5.7111	-999	-999	-999	-999	-999	3	3	53	2	None	0	0.2	0.10625	TRUE
83	2	ellipse	6	0.4999999999999858	1	94	3	3.215904228098309	1	[10,	0]	1	0	1	-0	2.6852	3.6264	-999	-999	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
84	2	ellipse	4	0.8500000000000227	1	87	3	5.423182985863256	1	[-10,	0]	0	0	1	-0	1.9888	3.0281	4.8889	6.4279	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
85	2	ellipse	6	0.1	-1	92	3	3.715697226282515	1	[-10,	0]	5	0	-1	0	2.6096	4.1823	-999	-999	-999	-999	-999	-999	-999	1	1	53	2	None	0	0.2	0.10625	TRUE
86	2	ellipse	4	0.9000000000000199	-1	70	0	3.9001289034886577	1	[-10,	0]	3	0	-1	1	2.1881	3.5361	4.3189	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
87	2	ellipse	4	0.8500000000000227	1	99	3	4.177866287004501	1	[10,	0]	3	0	1	0	2.8912	3.4289	5.3007	-999	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
88	2	ellipse	6	0.549999999999983	1	84	0	5.048845177377976	1	[10,	0]	4	0	1	3	2.0131	3.2267	4.6247	6.1043	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
89	2	ellipse	6	0.1	1	91	3	5.2608449628691005	1	[-10,	0]	2	0	1	0	2.4381	3.9444	5.3843	7.2908	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
90	2	ellipse	6	0.4999999999999858	1	94	3	5.3731102504115515	1	[-10,	0]	2	0	1	0	2.1492	3.286	4.0201	5.3699	5.9622	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
91	2	ellipse	6	0.4999999999999858	1	85	3	4.78155557441344	1	[10,	0]	5	0	1	-0	1.9773	3.8434	4.7167	5.9286	-999	-999	-999	-999	-999	0	0	53	2	None	0	0.2	0.10625	TRUE
