trialnum	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	offset	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	IDnum	sessionNum	comment	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	EDFmatchExists
47	1	ellipse	6	0.1	1	93	3	4.8095322553857525	1	[-10,	0]	4	0	1	-0	1.8413	3.5694	4.287	5.1068	6.9328	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
48	1	ellipse	6	0.02	-1	97	3	3.2368355136719273	1	[10,	0]	0	0	-1	0	2.8772	3.8634	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
49	1	ellipse	6	0.5111111111111342	1	73	3	3.7251481040727414	1	[10,	0]	1	0	1	-0	2.3142	4.1169	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
50	1	ellipse	4	0.8611111111111143	1	68	3	5.4041144448035325	1	[-10,	0]	0	0	1	0	1.7497	2.9944	4.525	5.0658	6.5527	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
51	1	ellipse	6	0.5111111111111342	1	79	0	5.065043960345881	1	[10,	0]	1	0	1	1	2.1514	3.0888	4.2543	5.9947	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
52	1	ellipse	6	0.41111111111113985	1	97	3	3.829972625889709	1	[10,	0]	5	0	1	-0	2.998	4.0107	5.2085	-999	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
53	1	ellipse	6	0.41111111111113985	-1	69	3	4.022775069273694	1	[10,	0]	0	0	-1	-0	1.9753	3.3633	4.7272	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
54	1	ellipse	6	0.41111111111113985	-1	105	3	3.5521894860262737	1	[10,	0]	2	0	-1	0	3.0945	3.9542	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
55	1	ellipse	4	0.8611111111111143	-1	73	0	5.689026448075753	1	[10,	0]	2	0	-1	-1	2.2925	3.449	5.1296	6.7763	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
56	1	ellipse	6	0.5111111111111342	1	70	0	4.675192566492086	1	[10,	0]	3	0	1	-1	1.8356	2.7485	3.4419	3.9811	5.0989	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
57	1	ellipse	4	0.8111111111111171	1	110	0	4.267613449055785	1	[-10,	0]	3	0	1	-1	2.7231	3.7586	5.1429	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
58	1	ellipse	6	0.461111111111137	-1	109	3	3.9954076805223098	1	[-10,	0]	0	0	-1	-0	1.9554	3.8492	5.8207	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
