TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	8	[0.02, 0.1]	-1	3	[2. 3. 6.]	1	1.0	0.0	0.02	3.0	1.0
2	circle	8	staircase	-1	3	[5. 0. 1.]	1	1.0	1.0	0.29570312500000284	3.0	1.0
3	circle	8	[0.02, 0.1]	-1	2	[2. 4. 0.]	2	1.0	2.0	0.02	3.0	1.0
4	circle	4	[0.02, 0.1]	1	3	[1. 1. 1.]	2	1.0	3.0	0.1	3.0	1.0
5	circle	8	[0.02, 0.1]	1	2	[2. 4. 0.]	2	1.0	4.0	0.02	3.0	1.0
6	circle	8	staircase	1	2	[0. 2. 6.]	0	1.0	5.0	0.29570312500000284	3.0	1.0
7	circle	8	staircase	-1	2	[0. 2. 6.]	2	1.0	6.0	0.595703125	3.0	1.0
8	circle	4	staircase	1	2	[1. 0. 2.]	2	1.0	7.0	0.29570312500000284	3.0	1.0
9	circle	8	staircase	-1	2	[5. 2. 6.]	2	1.0	8.0	0.8957031249999972	0.0	0.0
10	circle	4	staircase	1	3	[2. 1. 1.]	0	1.0	9.0	0.29570312500000284	3.0	1.0
11	circle	8	staircase	1	2	[0. 0. 2.]	2	1.0	10.0	0.595703125	0.0	0.0
12	circle	4	staircase	-1	3	[1. 2. 0.]	1	1.0	11.0	0.595703125	3.0	1.0
13	circle	4	staircase	-1	2	[3. 0. 2.]	2	1.0	12.0	0.595703125	3.0	1.0
14	circle	8	staircase	1	3	[5. 0. 0.]	2	1.0	13.0	0.595703125	0.0	0.0
15	circle	4	staircase	1	2	[2. 3. 2.]	1	1.0	14.0	0.8957031249999972	3.0	1.0
16	circle	4	staircase	1	3	[1. 2. 0.]	1	1.0	15.0	0.8957031249999972	0.0	0.0
17	circle	8	staircase	-1	3	[5. 0. 0.]	2	1.0	16.0	0.29570312500000284	3.0	1.0
18	circle	4	[0.02, 0.1]	-1	3	[1. 1. 1.]	0	1.0	17.0	0.1	3.0	1.0
19	circle	8	staircase	1	3	[7. 6. 7.]	0	1.0	18.0	0.29570312500000284	3.0	1.0
20	circle	8	staircase	-1	2	[0. 0. 2.]	1	1.0	19.0	0.29570312500000284	3.0	1.0
21	circle	8	staircase	-1	3	[7. 6. 7.]	2	1.0	20.0	0.29570312500000284	0.0	0.0
22	circle	4	staircase	-1	3	[0. 1. 0.]	1	1.0	21.0	0.595703125	3.0	1.0
23	circle	4	staircase	-1	2	[1. 0. 2.]	1	1.0	22.0	1.1957031249999943	0.0	0.0
24	circle	8	[0.02, 0.1]	1	3	[2. 3. 6.]	2	1.0	23.0	0.02	3.0	1.0
