TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
141	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	140.0	0.02	3.0	1.0
142	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	141.0	0.6457031250000114	3.0	1.0
143	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	142.0	0.4457031250000085	0.0	0.0
144	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	143.0	1.0500000000000114	0.0	0.0
145	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	144.0	0.2457031250000199	3.0	1.0
146	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	145.0	0.1	3.0	1.0
147	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	146.0	0.2457031250000199	3.0	1.0
148	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	147.0	1.0000000000000142	3.0	1.0
149	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	148.0	0.39570312500001137	3.0	1.0
150	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	149.0	0.39570312500001137	3.0	1.0
151	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	150.0	0.2457031250000199	3.0	1.0
152	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	151.0	0.6457031250000114	3.0	1.0
153	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	152.0	0.6457031250000114	3.0	1.0
154	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	153.0	0.39570312500001137	3.0	1.0
155	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	154.0	1.0000000000000142	3.0	1.0
156	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	155.0	0.4457031250000085	3.0	1.0
157	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	156.0	0.1	3.0	1.0
158	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	157.0	1.0000000000000142	3.0	1.0
159	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	158.0	0.29570312500001705	3.0	1.0
160	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	159.0	0.29570312500001705	3.0	1.0
161	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	160.0	0.29570312500001705	3.0	1.0
162	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	161.0	1.0500000000000114	3.0	1.0
163	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	162.0	0.02	3.0	1.0
164	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	163.0	0.3457031250000142	0.0	0.0
165	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	164.0	0.6957031250000085	3.0	1.0
166	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	165.0	0.4457031250000085	0.0	0.0
167	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	166.0	1.0500000000000114	0.0	0.0
168	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	167.0	0.1	3.0	1.0
169	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	168.0	1.0000000000000142	3.0	1.0
170	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	169.0	0.6957031250000085	0.0	0.0
171	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	170.0	0.29570312500001705	3.0	1.0
172	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	171.0	0.02	3.0	1.0
173	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	172.0	0.6457031250000114	3.0	1.0
174	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	173.0	1.0000000000000142	3.0	1.0
175	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	174.0	0.29570312500001705	3.0	1.0
176	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	175.0	0.02	3.0	1.0
177	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	176.0	0.6457031250000114	3.0	1.0
178	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	177.0	0.29570312500001705	0.0	0.0
179	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	178.0	0.39570312500001137	0.0	0.0
180	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	179.0	0.1	3.0	1.0
181	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	180.0	0.3457031250000142	0.0	0.0
182	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	181.0	0.2457031250000199	3.0	1.0
183	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	182.0	1.0000000000000142	3.0	1.0
184	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	183.0	0.1	3.0	1.0
185	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	184.0	0.6457031250000114	3.0	1.0
186	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	185.0	0.1	3.0	1.0
187	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	186.0	0.29570312500001705	3.0	1.0
188	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	187.0	0.1	3.0	1.0
189	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	188.0	0.29570312500001705	3.0	1.0
190	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	189.0	0.29570312500001705	3.0	1.0
191	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	190.0	1.0500000000000114	0.0	0.0
192	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	191.0	0.6957031250000085	0.0	0.0
193	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	192.0	0.2457031250000199	3.0	1.0
194	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	193.0	1.0000000000000142	3.0	1.0
195	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	194.0	0.6457031250000114	3.0	1.0
196	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	195.0	0.02	3.0	1.0
197	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	196.0	0.02	3.0	1.0
198	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	197.0	0.2457031250000199	3.0	1.0
199	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	198.0	0.3457031250000142	3.0	1.0
200	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	199.0	0.02	3.0	1.0
201	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	200.0	0.3457031250000142	3.0	1.0
202	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	201.0	0.3457031250000142	3.0	1.0
203	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	202.0	1.0000000000000142	0.0	0.0
204	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	203.0	0.1	3.0	1.0
205	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	204.0	0.39570312500001137	3.0	1.0
206	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	205.0	0.6457031250000114	0.0	0.0
207	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	206.0	0.29570312500001705	3.0	1.0
208	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	207.0	0.02	3.0	1.0
209	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	208.0	0.39570312500001137	3.0	1.0
210	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	209.0	0.29570312500001705	0.0	0.0
211	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	210.0	0.1	3.0	1.0
212	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	211.0	0.5957031250000142	0.0	0.0
213	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	212.0	0.545703125000017	3.0	1.0
214	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	213.0	0.545703125000017	0.0	0.0
215	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	214.0	0.950000000000017	3.0	1.0
216	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	215.0	0.950000000000017	3.0	1.0
217	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	216.0	0.02	3.0	1.0
218	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	217.0	0.2457031250000199	3.0	1.0
219	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	218.0	0.39570312500001137	0.0	0.0
220	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	219.0	0.4957031250000199	0.0	0.0
221	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	220.0	0.950000000000017	3.0	1.0
222	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	221.0	0.2457031250000199	3.0	1.0
223	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	222.0	1.0000000000000142	3.0	1.0
224	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	223.0	0.1	3.0	1.0
225	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	224.0	0.3457031250000142	3.0	1.0
226	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	225.0	0.44570312500002274	3.0	1.0
227	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	226.0	0.44570312500002274	3.0	1.0
228	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	227.0	0.02	3.0	1.0
229	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	228.0	1.0000000000000142	3.0	1.0
230	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	229.0	0.02	3.0	1.0
231	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	230.0	0.3457031250000142	3.0	1.0
232	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	231.0	0.2457031250000199	0.0	0.0
