TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	4	[0.02, 0.1]	-1	2	[0. 2. 3.]	0	1.0	0.0	0.1	3.0	1.0
2	circle	4	staircase	1	3	[3. 2. 1.]	1	1.0	1.0	0.29570312500000284	3.0	1.0
3	circle	8	[0.02, 0.1]	-1	3	[1. 7. 7.]	1	1.0	2.0	0.02	3.0	1.0
4	circle	4	staircase	-1	3	[3. 2. 1.]	2	1.0	3.0	0.595703125	3.0	1.0
5	circle	8	staircase	-1	2	[2. 5. 4.]	2	1.0	4.0	0.29570312500000284	3.0	1.0
6	circle	8	[0.02, 0.1]	1	2	[3. 5. 6.]	0	1.0	5.0	0.1	3.0	1.0
7	circle	4	staircase	-1	2	[1. 3. 2.]	2	1.0	6.0	0.29570312500000284	3.0	1.0
8	circle	8	staircase	-1	3	[1. 6. 4.]	1	1.0	7.0	0.29570312500000284	3.0	1.0
9	circle	4	[0.02, 0.1]	1	3	[1. 0. 1.]	2	1.0	8.0	0.1	3.0	1.0
10	circle	8	staircase	1	2	[0. 5. 5.]	1	1.0	9.0	0.595703125	0.0	0.0
11	circle	8	staircase	-1	2	[0. 5. 5.]	2	1.0	10.0	0.29570312500000284	3.0	1.0
12	circle	4	staircase	-1	2	[0. 2. 0.]	1	1.0	11.0	0.595703125	3.0	1.0
13	circle	4	[0.02, 0.1]	-1	3	[1. 0. 1.]	2	1.0	12.0	0.02	3.0	1.0
14	circle	8	staircase	1	2	[2. 5. 4.]	0	1.0	13.0	0.29570312500000284	3.0	1.0
15	circle	8	staircase	1	2	[3. 3. 7.]	2	1.0	14.0	0.29570312500000284	3.0	1.0
16	circle	4	staircase	1	3	[2. 2. 1.]	2	1.0	15.0	0.8957031249999972	3.0	1.0
17	circle	8	staircase	1	3	[1. 6. 4.]	0	1.0	16.0	0.595703125	0.0	0.0
18	circle	4	staircase	1	2	[1. 3. 2.]	1	1.0	17.0	0.8957031249999972	0.0	0.0
19	circle	8	staircase	-1	2	[3. 3. 7.]	2	1.0	18.0	0.4957031250000057	0.0	0.0
20	circle	4	staircase	1	3	[1. 3. 2.]	0	1.0	19.0	1.1957031249999943	0.0	0.0
21	circle	4	staircase	-1	3	[2. 2. 1.]	0	1.0	20.0	0.8957031249999972	3.0	1.0
22	circle	8	[0.02, 0.1]	1	3	[1. 7. 7.]	1	1.0	21.0	0.02	3.0	1.0
23	circle	8	staircase	-1	3	[6. 7. 7.]	2	1.0	22.0	0.29570312500000284	3.0	1.0
24	circle	8	staircase	1	3	[6. 7. 7.]	0	1.0	23.0	0.29570312500000284	0.0	0.0
25	circle	4	staircase	1	2	[0. 2. 0.]	2	1.0	24.0	0.595703125	3.0	1.0
26	circle	4	staircase	-1	3	[1. 3. 2.]	2	1.0	25.0	0.8957031249999972	3.0	1.0
27	circle	4	staircase	-1	2	[3. 1. 3.]	1	1.0	26.0	0.595703125	3.0	1.0
28	circle	4	staircase	1	2	[3. 1. 3.]	2	1.0	27.0	0.595703125	3.0	1.0
29	circle	8	staircase	-1	3	[0. 3. 2.]	0	1.0	28.0	0.030000000000001137	3.0	1.0
30	circle	8	staircase	1	3	[0. 3. 2.]	1	1.0	29.0	0.030000000000001137	3.0	1.0
31	circle	4	[0.02, 0.1]	1	2	[0. 2. 3.]	2	1.0	30.0	0.1	3.0	1.0
32	circle	8	[0.02, 0.1]	-1	2	[3. 5. 6.]	0	1.0	31.0	0.02	3.0	1.0
33	circle	8	staircase	-1	3	[6. 7. 7.]	2	1.0	32.0	0.030000000000001137	3.0	1.0
34	circle	4	staircase	-1	2	[3. 1. 3.]	1	1.0	33.0	0.7957031250000028	3.0	1.0
35	circle	8	staircase	-1	2	[0. 5. 5.]	2	1.0	34.0	0.39570312500001137	3.0	1.0
36	circle	4	staircase	-1	2	[0. 2. 0.]	1	1.0	35.0	0.7957031250000028	3.0	1.0
37	circle	4	[0.02, 0.1]	-1	3	[1. 0. 1.]	2	1.0	36.0	0.1	3.0	1.0
38	circle	4	staircase	1	2	[1. 3. 2.]	1	1.0	37.0	0.7957031250000028	0.0	0.0
39	circle	8	staircase	-1	3	[1. 6. 4.]	1	1.0	38.0	0.23000000000000398	3.0	1.0
40	circle	8	[0.02, 0.1]	-1	2	[3. 5. 6.]	0	1.0	39.0	0.1	3.0	1.0
41	circle	8	staircase	1	2	[3. 3. 7.]	2	1.0	40.0	0.39570312500001137	3.0	1.0
42	circle	4	staircase	1	3	[1. 3. 2.]	0	1.0	41.0	0.8957031249999972	3.0	1.0
43	circle	4	staircase	-1	2	[1. 3. 2.]	2	1.0	42.0	0.6957031250000085	3.0	1.0
44	circle	4	[0.02, 0.1]	-1	2	[0. 2. 3.]	0	1.0	43.0	0.02	3.0	1.0
45	circle	8	staircase	1	2	[2. 5. 4.]	0	1.0	44.0	0.39570312500001137	0.0	0.0
46	circle	4	staircase	1	3	[2. 2. 1.]	2	1.0	45.0	1.095703125	0.0	0.0
47	circle	4	staircase	-1	3	[2. 2. 1.]	0	1.0	46.0	0.9957031250000057	3.0	1.0
48	circle	8	staircase	-1	2	[2. 5. 4.]	2	1.0	47.0	0.29570312500001705	3.0	1.0
49	circle	8	staircase	1	2	[0. 5. 5.]	1	1.0	48.0	0.29570312500001705	3.0	1.0
50	circle	4	staircase	-1	3	[1. 3. 2.]	2	1.0	49.0	0.9957031250000057	3.0	1.0
51	circle	4	[0.02, 0.1]	1	2	[0. 2. 3.]	2	1.0	50.0	0.1	3.0	1.0
52	circle	4	staircase	1	2	[0. 2. 0.]	2	1.0	51.0	0.6957031250000085	3.0	1.0
53	circle	8	[0.02, 0.1]	-1	3	[1. 7. 7.]	1	1.0	52.0	0.1	3.0	1.0
