trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips
59	Y482	2	circle	4	0.5914062500000057	-1	0 	 4.787385757626248 	 2 	 0.0	1.0	2.0	1	-1	1	-1	-999	1.0	-999	2.8448 	4.0453 	4.6473 	5.8265 	-999	-999	-999	-999	-999	3.1744 	4.1303 	4.7694 	5.6155 	-999	-999	-999	-999	-999	1.9718 	2.5035 	3.0452 	3.8778 	5.876 	-999	-999	-999	-999	2
60	Y482	2	circle	4	0.1	-1	3 	 4.339579927407068 	 3 	 3.0	1.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.3613 	3.6625 	4.8706 	-999	-999	-999	-999	-999	-999	3.1355 	4.7403 	-999	-999	-999	-999	-999	-999	-999	2.2748 	4.0038 	4.8264 	-999	-999	-999	-999	-999	-999	26
61	Y482	2	circle	4	0.2914062500000085	1	3 	 4.622634705387991 	 2 	 2.0	1.0	1.0	1	1	-1	-1	-999	0.0	-999	2.3794 	3.5191 	5.2107 	-999	-999	-999	-999	-999	-999	2.7491 	3.301 	4.1619 	5.6262 	-999	-999	-999	-999	-999	2.5221 	3.7304 	5.496 	-999	-999	-999	-999	-999	-999	2
62	Y482	2	circle	8	0.29140625000002274	1	3 	 4.002876785542645 	 3 	 5.0	7.0	4.0	1	1	-1	-1	-999	-0.0	-999	2.0957 	3.6306 	5.2536 	-999	-999	-999	-999	-999	-999	2.083 	2.9925 	4.2398 	5.653 	-999	-999	-999	-999	-999	2.0315 	3.6498 	4.7551 	-999	-999	-999	-999	-999	-999	2
63	Y482	2	circle	8	0.39140625000001705	1	0 	 4.180582614555738 	 2 	 7.0	5.0	2.0	0	1	-1	-1	1.0	-999	-999	2.1711 	3.1441 	4.3067 	6.2708 	-999	-999	-999	-999	-999	2.6508 	4.4524 	6.342 	-999	-999	-999	-999	-999	-999	2.218 	2.786 	3.3645 	5.1855 	-999	-999	-999	-999	-999	7
64	Y482	2	circle	8	0.29140625000002274	1	0 	 4.190535148158547 	 2 	 7.0	0.0	4.0	2	1	-1	-1	-999	-999	-1.0	1.8188 	3.3886 	5.0527 	-999	-999	-999	-999	-999	-999	2.1281 	3.8095 	4.9127 	-999	-999	-999	-999	-999	-999	2.8809 	3.7679 	4.6802 	-999	-999	-999	-999	-999	-999	2
65	Y482	2	circle	8	0.19140625000002842	1	3 	 3.5375781953210885 	 2 	 0.0	6.0	4.0	2	1	-1	-1	-999	-999	-0.0	2.4135 	3.4796 	4.6664 	-999	-999	-999	-999	-999	-999	1.9803 	3.0025 	4.2891 	-999	-999	-999	-999	-999	-999	1.8001 	3.3104 	4.388 	-999	-999	-999	-999	-999	-999	1
66	Y482	2	circle	8	0.39140625000001705	1	0 	 5.46353104927125 	 3 	 2.0	6.0	2.0	0	1	-1	-1	2.0	-999	-999	1.8688 	3.2773 	4.005 	4.544 	5.7298 	7.2654 	-999	-999	-999	1.9667 	3.5481 	4.6325 	6.5136 	-999	-999	-999	-999	-999	2.2691 	3.1628 	3.6681 	5.5022 	7.4946 	-999	-999	-999	-999	10
67	Y482	2	circle	8	0.19140625000002842	-1	3 	 4.349745778412309 	 2 	 5.0	6.0	4.0	0	-1	1	-1	0.0	-999	-999	2.0181 	2.7453 	3.7311 	5.5353 	-999	-999	-999	-999	-999	2.3543 	3.1809 	3.9717 	5.1651 	-999	-999	-999	-999	-999	2.1728 	2.9386 	3.8092 	5.6735 	-999	-999	-999	-999	-999	1
68	Y482	2	circle	8	0.02	1	3 	 4.209614778826792 	 3 	 0.0	0.0	1.0	1	1	-1	-1	-999	0.0	-999	3.197 	5.1031 	-999	-999	-999	-999	-999	-999	-999	1.9524 	2.6332 	3.7496 	4.6402 	-999	-999	-999	-999	-999	2.8101 	3.6457 	4.6474 	-999	-999	-999	-999	-999	-999	3
69	Y482	2	circle	4	0.02	-1	3 	 4.40307631018691 	 2 	 0.0	2.0	1.0	1	-1	1	-1	-999	0.0	-999	2.2457 	3.2961 	4.7213 	-999	-999	-999	-999	-999	-999	2.9532 	3.6519 	5.2001 	-999	-999	-999	-999	-999	-999	1.9282 	2.8901 	4.6378 	5.8368 	-999	-999	-999	-999	-999	11
70	Y482	2	circle	4	0.2914062500000085	1	3 	 4.599789698514501 	 2 	 3.0	0.0	0.0	1	1	-1	-1	-999	-0.0	-999	2.1356 	3.1836 	4.4725 	5.3714 	-999	-999	-999	-999	-999	3.0595 	4.1928 	5.1349 	-999	-999	-999	-999	-999	-999	1.7434 	2.7935 	3.2989 	3.9382 	5.0848 	-999	-999	-999	-999	1
