trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips
0	Y483	3	circle	8	0.44355468749999716	-1	0 	 4.203560511302777 	 2 	 6.0	0.0	-999.0	1	-1	1	-1	-999	1.0	-999	1.9528 	3.5191 	4.5781 	-999	-999	-999	-999	-999	-999	2.0121 	3.3637 	5.2239 	-999	-999	-999	-999	-999	-999	1.8778 	3.0488 	3.5843 	5.3764 	-999	-999	-999	-999	-999	8
1	Y483	3	circle	8	0.1435546875	-1	3 	 4.719552391102737 	 2 	 2.0	1.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.8599 	3.4518 	4.4148 	6.3297 	-999	-999	-999	-999	-999	2.1347 	3.7743 	4.3711 	6.1763 	-999	-999	-999	-999	-999	2.5067 	3.3949 	4.8341 	5.6781 	-999	-999	-999	-999	-999	3
2	Y483	3	circle	8	0.44355468749999716	1	3 	 4.246621027836924 	 2 	 1.0	0.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.2734 	3.0189 	3.8732 	5.4859 	-999	-999	-999	-999	-999	2.4126 	4.3377 	6.2563 	-999	-999	-999	-999	-999	-999	2.045 	2.6454 	3.2707 	4.1063 	4.9893 	-999	-999	-999	-999	4
3	Y483	3	circle	4	0.44355468749999716	-1	3 	 5.472955690244742 	 2 	 -999.0	2.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.6616 	3.2682 	3.8702 	4.3835 	6.0625 	-999	-999	-999	-999	2.6888 	3.9651 	5.0594 	5.6767 	7.167 	-999	-999	-999	-999	3.1527 	3.7849 	4.3969 	6.0183 	-999	-999	-999	-999	-999	16
4	Y483	3	circle	4	0.7435546874999943	-1	3 	 4.461818206571369 	 2 	 2.0	3.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.2037 	3.5866 	4.1926 	6.0632 	-999	-999	-999	-999	-999	2.0558 	3.0066 	4.9906 	-999	-999	-999	-999	-999	-999	2.3079 	3.4872 	4.9066 	-999	-999	-999	-999	-999	-999	4
5	Y483	3	circle	8	0.44355468749999716	-1	3 	 3.2574021432515408 	 3 	 5.0	1.0	0.0	0	-1	1	-1	-0.0	-999	-999	1.7458 	3.0412 	3.7019 	-999	-999	-999	-999	-999	-999	2.1825 	3.7282 	-999	-999	-999	-999	-999	-999	-999	2.5554 	3.648 	-999	-999	-999	-999	-999	-999	-999	2
6	Y483	3	circle	8	0.7435546874999943	1	3 	 3.2862283861843147 	 3 	 3.0	2.0	1.0	0	1	-1	-1	-0.0	-999	-999	3.131 	4.4004 	-999	-999	-999	-999	-999	-999	-999	2.3208 	3.1438 	5.0508 	-999	-999	-999	-999	-999	-999	2.8056 	3.4915 	4.3448 	-999	-999	-999	-999	-999	-999	2
7	Y483	3	circle	4	0.44355468749999716	-1	3 	 3.218767727062186 	 3 	 3.0	0.0	3.0	2	-1	1	-1	-999	-999	0.0	2.6389 	4.3631 	-999	-999	-999	-999	-999	-999	-999	2.1805 	3.9929 	-999	-999	-999	-999	-999	-999	-999	2.4777 	3.5885 	-999	-999	-999	-999	-999	-999	-999	1
8	Y483	3	circle	8	1.0435546874999915	-1	0 	 3.6179966723385935 	 3 	 6.0	1.0	1.0	2	-1	1	-1	-999	-999	1.0	1.7179 	3.4947 	4.5457 	-999	-999	-999	-999	-999	-999	2.8066 	4.3383 	-999	-999	-999	-999	-999	-999	-999	2.4778 	4.2789 	-999	-999	-999	-999	-999	-999	-999	2
9	Y483	3	circle	8	0.7435546874999943	1	0 	 4.97823441392025 	 3 	 4.0	6.0	4.0	0	1	-1	-1	-2.0	-999	-999	2.2428 	3.0003 	4.9395 	5.6585 	-999	-999	-999	-999	-999	2.2734 	3.3948 	4.5817 	6.276 	-999	-999	-999	-999	-999	2.692 	4.2292 	5.8554 	-999	-999	-999	-999	-999	-999	1
