comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	session	IDvalid	IDnum	EDFmatchExists	EDF_name	EDF_suffix	noSessionID	sessionNum
None	120	0.08333333333333333	0.016666666666666666	0.016666666666666666	c	TRUE	54	FALSE	NA	NA	NA	3
None	120	0.1	0.008333333333333333	0.008333333333333333	a	TRUE	67	FALSE	NA	NA	NA	1
None	120	0.03333333333333333	0	0	b	TRUE	67	FALSE	NA	NA	NA	2
None	120	0.008333333333333333	0	0	c	TRUE	67	FALSE	NA	NA	NA	3
None	120	0.09166666666666666	NA	NA	1	TRUE	24	FALSE	NA	NA	NA	1
None	120	0.15	NA	NA	2	TRUE	24	FALSE	NA	NA	NA	2
None	120	0.11666666666666667	NA	NA	3	TRUE	24	FALSE	NA	NA	NA	3
None	120	0.03333333333333333	0	0	a	TRUE	59	FALSE	NA	NA	NA	1
None	120	0.025	0	0	b	TRUE	59	FALSE	NA	NA	NA	2
None	90	0.022222222222222223	0	0	c	TRUE	59	FALSE	NA	NA	NA	3
None	120	0.06666666666666667	0	0	a	TRUE	62	FALSE	NA	NA	NA	1
None	120	0.15833333333333333	0	0	b	TRUE	62	FALSE	NA	NA	NA	2
None	120	0.13333333333333333	0	0	c	TRUE	62	FALSE	NA	NA	NA	3
None	120	0.008333333333333333	0.008333333333333333	0	a	TRUE	66	FALSE	NA	NA	NA	1
None	120	0.016666666666666666	0	0	b	TRUE	66	FALSE	NA	NA	NA	2
None	120	0	0	0	c	TRUE	66	FALSE	NA	NA	NA	3
None	120	0.3333333333333333	NA	NA	1	TRUE	26	FALSE	NA	NA	NA	1
None	120	0.26666666666666666	NA	NA	2	TRUE	26	FALSE	NA	NA	NA	2
None	120	0.30833333333333335	NA	NA	3	TRUE	26	FALSE	NA	NA	NA	3
None	120	0.16666666666666666	NA	NA	1	TRUE	31	TRUE	S311	EDF	FALSE	1
None	120	0.10833333333333334	NA	NA	2	TRUE	31	TRUE	S312	EDF	FALSE	2
None	120	0.19166666666666668	NA	NA	3	TRUE	31	TRUE	S313	EDF	FALSE	3
None	120	0.05	NA	NA	1	TRUE	38	TRUE	S381	EDF	FALSE	1
