comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsBlipsAfterCue	pTrialsLotsAfterCue	ID.x	IDnum	session	IDvalid	firstLetter	EDFmatchExists	EDF_name	EDF_suffix	file_size	ID.y	noSessionID	sessionNum	EDFreadError
None	120	0.058333333333333334	0	0	0	G58	58	c	TRUE	G	TRUE	G58c	EDF	11141955	58	FALSE	3	TRUE
None	120	0	0.008333333333333333	0	0	G77	77	a	TRUE	G	TRUE	G77a	EDF	3117486	77	FALSE	1	FALSE
None	120	0.03333333333333333	0	0	0	G77	77	b	TRUE	G	TRUE	G77b	EDF	3112179	77	FALSE	2	FALSE
None	120	0	0	0	0	G77	77	c	TRUE	G	TRUE	G77c	EDF	8194581	77	FALSE	3	FALSE
None	120	0.075	0	0	0	H83	83	a	TRUE	H	TRUE	H83a	EDF	2967695	83	FALSE	1	FALSE
None	120	0.041666666666666664	0.008333333333333333	0.008333333333333333	0	H83	83	b	TRUE	H	TRUE	H83b	EDF	2935542	83	FALSE	2	FALSE
None	120	0	0.008333333333333333	0.008333333333333333	0	H83	83	c	TRUE	H	TRUE	H83c	EDF	2979904	83	FALSE	3	TRUE
None	120	0.15833333333333333	NA	NA	NA	J33	33	1	TRUE	J	FALSE	NA	NA	NA	NA	NA	1	FALSE
None	120	0.20833333333333334	NA	NA	NA	J33	33	2	TRUE	J	TRUE	J33	EDF	11283971	33	TRUE	2	FALSE
None	120	0.19166666666666668	NA	NA	NA	j33	33	3	TRUE	j	FALSE	NA	NA	NA	NA	NA	3	FALSE
None	120	0.125	NA	NA	NA	J37	37	1	TRUE	J	TRUE	J371	EDF	11400941	37	FALSE	1	FALSE
None	120	0.14166666666666666	NA	NA	NA	J37	37	2	TRUE	J	TRUE	J372	EDF	11533976	37	FALSE	2	FALSE
None	120	0.125	NA	NA	NA	J37	37	3	TRUE	J	TRUE	J373	EDF	11144745	37	FALSE	3	FALSE
None	120	0.21666666666666667	NA	NA	NA	J51	51	a	TRUE	J	TRUE	J51a	EDF	11351396	51	FALSE	1	FALSE
None	120	0.25	NA	NA	NA	J51	51	b	TRUE	J	TRUE	J51b	EDF	11301979	51	FALSE	2	FALSE
None	120	0.25833333333333336	NA	NA	NA	J51	51	c	TRUE	J	TRUE	J51c	EDF	11223040	51	FALSE	3	TRUE
None	120	0.25	0	0	0	J55	55	a	TRUE	J	TRUE	J55a	EDF	11222067	55	FALSE	1	FALSE
None	120	0.25	NA	NA	NA	J55	55	b	TRUE	J	TRUE	J55b	EDF	11376993	55	FALSE	2	FALSE
None	120	0.13333333333333333	NA	NA	NA	J55	55	c	TRUE	J	TRUE	J55c	EDF	11119294	55	FALSE	3	FALSE
None	120	0.18333333333333332	NA	NA	NA	J56	56	a	TRUE	J	TRUE	J56a	EDF	11156646	56	FALSE	1	FALSE
None	120	0.15	NA	NA	NA	J56	56	b	TRUE	J	TRUE	J56b	EDF	11211476	56	FALSE	2	FALSE
None	120	0.175	NA	NA	NA	J57	57	a	TRUE	J	TRUE	J57a	EDF	11416983	57	FALSE	1	FALSE
None	120	0.18333333333333332	NA	NA	NA	J57	57	b	TRUE	J	TRUE	J57b	EDF	11239117	57	FALSE	2	FALSE
None	120	0.08333333333333333	NA	NA	NA	J57	57	c	TRUE	J	TRUE	J57c	EDF	11265954	57	FALSE	3	TRUE
None	120	0.13333333333333333	0	0	0	J68	68	a	TRUE	J	TRUE	J68a	EDF	11226666	68	FALSE	1	FALSE
None	120	0.09166666666666666	0	0	0	J68	68	b	TRUE	J	TRUE	J68b	EDF	11216819	68	FALSE	2	FALSE
None	120	0.008333333333333333	0.008333333333333333	0	0	J68	68	c	TRUE	J	TRUE	J68c	EDF	11282978	68	FALSE	3	FALSE
None	120	0	NA	NA	NA	K34	34	2	TRUE	K	TRUE	K342	EDF	11684352	34	FALSE	2	FALSE
None	120	0	NA	NA	NA	K34	34	3	TRUE	K	TRUE	K343	EDF	11532139	34	FALSE	3	FALSE
None	120	0.008333333333333333	0	0	0	K73	73	a	TRUE	K	TRUE	K73a	EDF	11155105	73	FALSE	1	FALSE
None	120	0.025	0	0	0	K73	73	b	TRUE	K	TRUE	K73b	EDF	11104603	73	FALSE	2	FALSE
None	120	0.016666666666666666	0	0	0	K73	73	c	TRUE	K	TRUE	K73c	EDF	11138516	73	FALSE	3	FALSE
