trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips
0	Y481	1	circle	8	0.35484375000000057	-1	3 	 3.92248720504536 	 2 	 -999.0	7.0	2.0	1	-1	1	-1	-999	0.0	-999	2.6147 	4.6007 	-999	-999	-999	-999	-999	-999	-999	3.191 	3.7166 	5.2587 	-999	-999	-999	-999	-999	-999	3.0773 	4.4503 	-999	-999	-999	-999	-999	-999	-999	4
1	Y481	1	circle	4	0.35484375000000057	-1	3 	 3.2610481662097057 	 2 	 2.0	0.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.3501 	4.0626 	-999	-999	-999	-999	-999	-999	-999	3.1553 	4.1827 	-999	-999	-999	-999	-999	-999	-999	2.1174 	3.209 	5.1231 	-999	-999	-999	-999	-999	-999	2
2	Y481	1	circle	4	0.6548437499999977	-1	3 	 3.949467577882861 	 2 	 -999.0	1.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.7733 	4.1494 	4.9649 	-999	-999	-999	-999	-999	-999	2.6803 	4.5308 	-999	-999	-999	-999	-999	-999	-999	2.0725 	2.7801 	4.1736 	5.6286 	-999	-999	-999	-999	-999	3
3	Y481	1	circle	8	0.6548437499999977	1	0 	 5.344384571562184 	 2 	 -999.0	5.0	0.0	1	1	-1	-1	-999	-1.0	-999	1.9432 	3.2631 	4.0775 	5.8267 	-999	-999	-999	-999	-999	2.5723 	4.0139 	5.0752 	6.4789 	-999	-999	-999	-999	-999	2.4299 	3.5578 	5.3821 	5.9785 	-999	-999	-999	-999	-999	8
4	Y481	1	circle	8	0.35484375000000057	1	3 	 3.7399262226481733 	 2 	 -999.0	5.0	5.0	2	1	-1	-1	-999	-999	-0.0	2.5785 	3.4151 	4.6155 	-999	-999	-999	-999	-999	-999	3.1315 	4.7044 	-999	-999	-999	-999	-999	-999	-999	2.0552 	3.5601 	5.0516 	-999	-999	-999	-999	-999	-999	4
5	Y481	1	circle	8	0.35484375000000057	1	0 	 5.678773531209899 	 3 	 3.0	0.0	6.0	1	1	-1	-1	-999	-1.0	-999	1.8441 	3.7184 	4.6935 	6.0994 	-999	-999	-999	-999	-999	2.991 	4.8548 	5.6303 	6.1543 	-999	-999	-999	-999	-999	1.8486 	3.3651 	4.8608 	6.7969 	-999	-999	-999	-999	-999	1
6	Y481	1	circle	4	0.35484375000000057	1	3 	 3.8111115493674754 	 3 	 3.0	0.0	1.0	1	1	-1	-1	-999	0.0	-999	1.7642 	2.7813 	3.4109 	4.338 	-999	-999	-999	-999	-999	2.2041 	3.2499 	3.9457 	5.321 	-999	-999	-999	-999	-999	3.1096 	3.8987 	4.5083 	-999	-999	-999	-999	-999	-999	7
7	Y481	1	circle	4	0.6548437499999977	1	3 	 4.3318321185409285 	 3 	 0.0	2.0	0.0	1	1	-1	-1	-999	-0.0	-999	2.3971 	3.9204 	4.8475 	-999	-999	-999	-999	-999	-999	1.9521 	3.2732 	5.1661 	-999	-999	-999	-999	-999	-999	2.0798 	3.7491 	5.6637 	-999	-999	-999	-999	-999	-999	1
8	Y481	1	circle	4	0.02	1	3 	 4.386397937766444 	 2 	 0.0	3.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.6825 	4.6754 	5.3854 	-999	-999	-999	-999	-999	-999	1.7357 	2.7421 	4.2019 	5.8835 	-999	-999	-999	-999	-999	2.0581 	3.4054 	4.419 	6.1603 	-999	-999	-999	-999	-999	1
9	Y481	1	circle	4	0.02	-1	3 	 3.6702652266398883 	 2 	 0.0	3.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.9327 	4.4477 	-999	-999	-999	-999	-999	-999	-999	2.5771 	3.4778 	4.1861 	-999	-999	-999	-999	-999	-999	2.0366 	3.3782 	4.9374 	-999	-999	-999	-999	-999	-999	4
10	Y481	1	circle	8	0.35484375000000057	-1	3 	 4.101924340253472 	 2 	 3.0	-999.0	6.0	2	-1	1	-1	-999	-999	0.0	2.6079 	3.5582 	4.894 	-999	-999	-999	-999	-999	-999	2.8895 	4.1543 	5.7376 	-999	-999	-999	-999	-999	-999	3.0542 	4.7441 	-999	-999	-999	-999	-999	-999	-999	2
11	Y481	1	circle	4	0.9548437499999949	1	3 	 5.4196011174499406 	 2 	 -999.0	0.0	2.0	2	1	-1	-1	-999	-999	-0.0	1.7422 	2.7594 	3.9902 	4.7188 	5.3613 	6.9337 	-999	-999	-999	2.3429 	3.3074 	3.9801 	5.7741 	-999	-999	-999	-999	-999	2.6465 	4.644 	6.2472 	-999	-999	-999	-999	-999	-999	8
12	Y481	1	circle	8	0.02	-1	3 	 4.697720030304902 	 2 	 7.0	4.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.1746 	3.6953 	4.4849 	6.2831 	-999	-999	-999	-999	-999	3.0611 	3.7263 	5.3622 	-999	-999	-999	-999	-999	-999	2.342 	2.9657 	4.0121 	5.1234 	-999	-999	-999	-999	-999	22
