TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	8	staircase	-1	2	[0. 6. 4.]	2	1.0	0.0	0.35484375000000057	3.0	1.0
2	circle	4	staircase	-1	2	[3. 3. 3.]	2	1.0	1.0	0.35484375000000057	3.0	1.0
3	circle	4	staircase	-1	2	[0. 2. 2.]	1	1.0	2.0	0.6548437499999977	3.0	1.0
4	circle	8	staircase	1	2	[0. 6. 4.]	0	1.0	3.0	0.6548437499999977	0.0	0.0
5	circle	8	staircase	1	2	[4. 3. 6.]	0	1.0	4.0	0.35484375000000057	3.0	1.0
6	circle	8	staircase	1	3	[3. 5. 7.]	1	1.0	5.0	0.35484375000000057	0.0	0.0
7	circle	4	staircase	1	3	[0. 2. 0.]	0	1.0	6.0	0.35484375000000057	3.0	1.0
8	circle	4	staircase	1	3	[0. 1. 2.]	1	1.0	7.0	0.6548437499999977	3.0	1.0
9	circle	4	[0.02, 0.1]	1	2	[2. 2. 1.]	2	1.0	8.0	0.02	3.0	1.0
10	circle	4	[0.02, 0.1]	-1	2	[2. 2. 1.]	0	1.0	9.0	0.02	3.0	1.0
11	circle	8	staircase	-1	2	[7. 1. 7.]	1	1.0	10.0	0.35484375000000057	3.0	1.0
12	circle	4	staircase	1	2	[3. 1. 1.]	0	1.0	11.0	0.9548437499999949	3.0	1.0
13	circle	8	[0.02, 0.1]	-1	2	[0. 4. 6.]	2	1.0	12.0	0.02	3.0	1.0
14	circle	4	staircase	1	3	[0. 0. 3.]	0	1.0	13.0	0.9548437499999949	0.0	0.0
15	circle	8	staircase	1	3	[0. 6. 1.]	1	1.0	14.0	0.05484375000000341	0.0	0.0
16	circle	8	staircase	-1	3	[5. 6. 4.]	2	1.0	15.0	0.030000000000001137	3.0	1.0
17	circle	8	staircase	-1	3	[0. 0. 3.]	0	1.0	16.0	0.3299999999999983	3.0	1.0
18	circle	8	staircase	1	3	[5. 6. 4.]	2	1.0	17.0	0.3299999999999983	3.0	1.0
19	circle	4	staircase	1	2	[0. 2. 2.]	2	1.0	18.0	1.254843749999992	3.0	1.0
20	circle	8	[0.02, 0.1]	1	3	[5. 6. 6.]	2	1.0	19.0	0.1	3.0	1.0
21	circle	8	staircase	-1	3	[0. 6. 1.]	1	1.0	20.0	0.3299999999999983	3.0	1.0
22	circle	4	[0.02, 0.1]	-1	3	[0. 3. 3.]	1	1.0	21.0	0.1	3.0	1.0
23	circle	8	staircase	1	3	[0. 0. 3.]	1	1.0	22.0	0.6299999999999955	0.0	0.0
24	circle	8	staircase	-1	3	[3. 5. 7.]	2	1.0	23.0	0.4299999999999926	0.0	0.0
25	circle	4	staircase	-1	2	[3. 1. 1.]	2	1.0	24.0	1.5548437499999892	3.0	1.0
26	circle	4	staircase	1	2	[0. 1. 1.]	2	1.0	25.0	1.7999999999999972	3.0	1.0
27	circle	4	staircase	-1	2	[0. 1. 1.]	1	1.0	26.0	1.7999999999999972	0.0	0.0
28	circle	4	staircase	1	2	[3. 3. 3.]	1	1.0	27.0	1.5	0.0	0.0
29	circle	8	[0.02, 0.1]	-1	3	[5. 6. 6.]	1	1.0	28.0	0.1	3.0	1.0
30	circle	4	staircase	-1	3	[0. 0. 3.]	1	1.0	29.0	0.6548437499999977	3.0	1.0
31	circle	8	staircase	-1	2	[5. 0. 2.]	2	1.0	30.0	0.35484375000000057	3.0	1.0
32	circle	4	staircase	1	3	[3. 0. 2.]	1	1.0	31.0	0.6548437499999977	3.0	1.0
33	circle	8	staircase	1	2	[7. 1. 7.]	2	1.0	32.0	0.5548437500000034	3.0	1.0
34	circle	8	[0.02, 0.1]	1	2	[0. 4. 6.]	1	1.0	33.0	0.1	3.0	1.0
35	circle	4	[0.02, 0.1]	1	3	[0. 3. 3.]	1	1.0	34.0	0.1	3.0	1.0
36	circle	4	staircase	-1	3	[0. 1. 2.]	0	1.0	35.0	0.6548437499999977	3.0	1.0
37	circle	8	staircase	1	2	[5. 0. 2.]	0	1.0	36.0	0.5548437500000034	3.0	1.0
38	circle	8	staircase	-1	2	[4. 3. 6.]	1	1.0	37.0	0.5548437500000034	0.0	0.0
39	circle	4	staircase	-1	3	[3. 0. 2.]	2	1.0	38.0	0.8548437500000006	3.0	1.0
40	circle	4	staircase	-1	3	[0. 2. 0.]	0	1.0	39.0	0.8548437500000006	0.0	0.0
41	circle	4	[0.02, 0.1]	1	3	[0. 3. 3.]	1	1.0	40.0	0.1	3.0	1.0
42	circle	4	staircase	-1	3	[0. 2. 0.]	0	1.0	41.0	0.7548437500000063	0.0	0.0
43	circle	4	staircase	1	2	[3. 3. 3.]	1	1.0	42.0	1.2000000000000028	0.0	0.0
44	circle	4	[0.02, 0.1]	1	2	[2. 2. 1.]	2	1.0	43.0	0.1	3.0	1.0
45	circle	8	staircase	-1	3	[0. 0. 3.]	0	1.0	44.0	0.22999999999998977	3.0	1.0
46	circle	4	staircase	-1	3	[3. 0. 2.]	2	1.0	45.0	0.6548437500000119	3.0	1.0
47	circle	4	staircase	-1	2	[3. 3. 3.]	2	1.0	46.0	0.9000000000000057	0.0	0.0
48	circle	8	staircase	1	2	[0. 6. 4.]	0	1.0	47.0	0.4548437500000091	0.0	0.0
49	circle	8	staircase	1	2	[7. 1. 7.]	2	1.0	48.0	0.3548437500000148	0.0	0.0
50	circle	8	[0.02, 0.1]	-1	3	[5. 6. 6.]	1	1.0	49.0	0.02	3.0	1.0
51	circle	4	staircase	-1	3	[0. 1. 2.]	0	1.0	50.0	0.6548437500000119	3.0	1.0
52	circle	8	staircase	-1	2	[0. 6. 4.]	2	1.0	51.0	0.25484375000002046	3.0	1.0
53	circle	4	[0.02, 0.1]	-1	3	[0. 3. 3.]	1	1.0	52.0	0.02	3.0	1.0
54	circle	4	staircase	-1	3	[0. 0. 3.]	1	1.0	53.0	0.6548437500000119	0.0	0.0
55	circle	4	staircase	-1	2	[0. 2. 2.]	1	1.0	54.0	0.6000000000000085	3.0	1.0
56	circle	8	staircase	1	3	[5. 6. 4.]	2	1.0	55.0	0.22999999999998977	0.0	0.0
57	circle	8	[0.02, 0.1]	-1	2	[0. 4. 6.]	2	1.0	56.0	0.02	3.0	1.0
58	circle	8	staircase	-1	3	[0. 6. 1.]	1	1.0	57.0	0.030000000000001137	3.0	1.0
59	circle	4	staircase	1	3	[3. 0. 2.]	1	1.0	58.0	0.5548437500000176	3.0	1.0
60	circle	8	staircase	-1	2	[5. 0. 2.]	2	1.0	59.0	0.25484375000002046	3.0	1.0
61	circle	8	staircase	1	3	[3. 5. 7.]	1	1.0	60.0	0.030000000000001137	3.0	1.0
62	circle	4	[0.02, 0.1]	-1	2	[2. 2. 1.]	0	1.0	61.0	0.02	3.0	1.0
63	circle	8	staircase	1	2	[4. 3. 6.]	0	1.0	62.0	0.25484375000002046	3.0	1.0
64	circle	8	[0.02, 0.1]	1	3	[5. 6. 6.]	2	1.0	63.0	0.02	3.0	1.0
65	circle	4	staircase	1	2	[0. 2. 2.]	2	1.0	64.0	0.6000000000000085	3.0	1.0
66	circle	4	staircase	1	3	[0. 0. 3.]	0	1.0	65.0	0.5548437500000176	3.0	1.0
67	circle	8	staircase	-1	3	[5. 6. 4.]	2	1.0	66.0	0.030000000000001137	3.0	1.0
68	circle	8	[0.02, 0.1]	1	2	[0. 4. 6.]	1	1.0	67.0	0.1	3.0	1.0
69	circle	8	staircase	-1	2	[4. 3. 6.]	1	1.0	68.0	0.3548437500000148	3.0	1.0
70	circle	8	staircase	1	2	[5. 0. 2.]	0	1.0	69.0	0.3548437500000148	3.0	1.0
71	circle	4	staircase	-1	2	[0. 1. 1.]	1	1.0	70.0	0.6000000000000085	0.0	0.0
72	circle	4	staircase	1	2	[3. 1. 1.]	0	1.0	71.0	0.30000000000001137	3.0	1.0
73	circle	8	staircase	1	3	[0. 0. 3.]	1	1.0	72.0	0.12999999999999545	3.0	1.0
74	circle	4	staircase	-1	2	[3. 1. 1.]	2	1.0	73.0	0.30000000000001137	3.0	1.0
75	circle	4	staircase	1	2	[0. 1. 1.]	2	1.0	74.0	0.30000000000001137	3.0	1.0
76	circle	4	staircase	1	3	[0. 2. 0.]	0	1.0	75.0	0.5548437500000176	3.0	1.0
77	circle	8	staircase	1	3	[0. 6. 1.]	1	1.0	76.0	0.12999999999999545	3.0	1.0
78	circle	8	staircase	-1	3	[3. 5. 7.]	2	1.0	77.0	0.12999999999999545	3.0	1.0
79	circle	8	staircase	-1	2	[7. 1. 7.]	1	1.0	78.0	0.3548437500000148	3.0	1.0
80	circle	4	staircase	1	3	[0. 1. 2.]	1	1.0	79.0	0.6548437500000119	0.0	0.0
81	circle	4	staircase	1	3	[3. 0. 2.]	1	1.0	80.0	0.6048437500000148	3.0	1.0
82	circle	4	staircase	-1	2	[3. 1. 1.]	2	1.0	81.0	0.5000000000000142	0.0	0.0
