TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	8	staircase	-1	2	[4. 5. 5.]	1	1.0	0.0	0.44355468749999716	0.0	0.0
2	circle	8	staircase	-1	2	[5. 1. 6.]	0	1.0	1.0	0.1435546875	3.0	1.0
3	circle	8	staircase	1	2	[4. 5. 5.]	2	1.0	2.0	0.44355468749999716	3.0	1.0
4	circle	4	staircase	-1	2	[1. 0. 1.]	1	1.0	3.0	0.44355468749999716	3.0	1.0
5	circle	4	staircase	-1	2	[2. 3. 1.]	1	1.0	4.0	0.7435546874999943	3.0	1.0
6	circle	8	staircase	-1	3	[7. 6. 6.]	0	1.0	5.0	0.44355468749999716	3.0	1.0
7	circle	8	staircase	1	3	[2. 7. 3.]	0	1.0	6.0	0.7435546874999943	3.0	1.0
8	circle	4	staircase	-1	3	[1. 2. 0.]	2	1.0	7.0	0.44355468749999716	3.0	1.0
9	circle	8	staircase	-1	3	[2. 7. 4.]	1	1.0	8.0	1.0435546874999915	0.0	0.0
10	circle	8	staircase	1	3	[0. 4. 2.]	1	1.0	9.0	0.7435546874999943	0.0	0.0
11	circle	4	[0.02, 0.1]	1	3	[0. 2. 1.]	1	1.0	10.0	0.02	3.0	1.0
12	circle	4	staircase	1	3	[0. 0. 0.]	2	1.0	11.0	0.7435546874999943	3.0	1.0
13	circle	4	staircase	-1	3	[3. 3. 2.]	1	1.0	12.0	1.0435546874999915	3.0	1.0
14	circle	4	staircase	-1	2	[2. 3. 1.]	0	1.0	13.0	1.0435546874999915	3.0	1.0
15	circle	8	staircase	-1	3	[0. 4. 2.]	1	1.0	14.0	0.44355468749999716	3.0	1.0
16	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	15.0	0.02	3.0	1.0
17	circle	4	staircase	1	2	[3. 0. 3.]	2	1.0	16.0	1.3435546874999886	3.0	1.0
18	circle	8	staircase	1	2	[6. 2. 3.]	1	1.0	17.0	0.44355468749999716	3.0	1.0
19	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	0	1.0	18.0	0.02	3.0	1.0
20	circle	8	staircase	1	2	[5. 1. 6.]	1	1.0	19.0	0.44355468749999716	3.0	1.0
21	circle	8	[0.02, 0.1]	-1	3	[0. 2. 6.]	1	1.0	20.0	0.1	3.0	1.0
